prompt,label,pool_type
다음 한국어 문장을 자연스러운 영어로 번역해 주세요.,0,gn_short
아래 영어 문장을 한국어로 번역해 주실 수 있나요?,0,gn_short
이 문장을 일본어로 번역해 주시겠어요?,0,gn_short
다음 영문을 정확하게 한국어로 옮겨 주세요.,0,gn_short
이 기사 제목을 영어로 번역해 주세요.,0,gn_short
이 중국어 문장의 뜻을 한국어로 알려 주세요.,0,gn_short
아래 프랑스어 문구를 번역해 주세요.,0,gn_short
이 영어 슬로건을 한국어로 자연스럽게 옮겨 주세요.,0,gn_short
다음 문장을 스페인어로 번역해 주시겠어요?,0,gn_short
이 표현을 영어와 일본어로 각각 번역해 주세요.,0,gn_short
이 문장에서 맞춤법 오류를 찾아 고쳐 주세요.,0,gn_short
다음 글을 더 자연스럽게 다듬어 주세요.,0,gn_short
이 단락에서 어색한 표현을 수정해 주세요.,0,gn_short
문장이 너무 딱딱한데 부드럽게 바꿔 주세요.,0,gn_short
이 문장의 띄어쓰기가 맞는지 확인해 주세요.,0,gn_short
이 글에서 반복되는 표현을 찾아 주세요.,0,gn_short
다음 문장을 좀 더 간결하게 줄여 주세요.,0,gn_short
이 설명문을 쉬운 말로 고쳐 주세요.,0,gn_short
문장 흐름이 자연스러운지 봐 주세요.,0,gn_short
이 글의 어조를 더 공손하게 바꿔 주세요.,0,gn_short
이 글의 핵심 내용을 세 문장으로 요약해 주세요.,0,gn_short
다음 기사를 짧게 요약해 주실 수 있나요?,0,gn_short
이 보고서의 주요 결론만 정리해 주세요.,0,gn_short
아래 내용을 한 문단으로 요약해 주세요.,0,gn_short
이 텍스트에서 중요한 부분만 뽑아 주세요.,0,gn_short
다음 글을 불릿 포인트로 요약해 주세요.,0,gn_short
이 내용의 핵심 주장이 무엇인지 정리해 주세요.,0,gn_short
아래 기사에서 주요 사실만 추려 주세요.,0,gn_short
이 보도자료를 세 줄로 요약해 주세요.,0,gn_short
다음 내용을 간략히 요약해서 말해 주세요.,0,gn_short
이 단어의 뜻과 예문을 알려 주세요.,0,gn_short
